Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,85.4,4344340480,66.0,65.10000000000001,44830720,0.7999999999999972,22.8,0,74.74794734383394,-0.0002832774177790043
1,77.8,4354719744,66.1,57.5,55209984,0.8999999999999915,22.8,0,74.74794734383394,-0.0002832774177790043
2,71.1,4349358080,66.0,50.8,49848320,0.7999999999999972,22.8,0,74.74794734383394,-0.0002832774177790043
3,83.5,4355452928,65.7,63.2,55943168,0.5,22.8,0,74.74794734383394,-0.0002832774177790043
4,87.1,4351062016,65.6,66.8,51552256,0.3999999999999915,22.8,0,74.74810993023482,-0.00012069101690315165
5,88.5,4343197696,65.5,68.2,43687936,0.29999999999999716,22.8,0,74.7481821901854,-4.843106631824412e-05
6,74.2,4352098304,65.7,53.900000000000006,52588544,0.5,22.8,0,74.74796829393921,-0.0002623273125124115
7,82.2,4358930432,65.7,61.900000000000006,59420672,0.5,22.8,0,74.74775439891718,-0.0004762223345409211
8,86.7,4355706880,65.5,66.4,56197120,0.29999999999999716,22.8,0,74.74775439891718,-0.0004762223345409211
9,71.8,4356669440,65.6,51.5,57159680,0.3999999999999915,22.8,0,74.74779269425078,-0.0004379270009451375
10,76.0,4363616256,65.6,55.7,64106496,0.3999999999999915,22.8,0,74.7478476104631,-0.0003830107886244605
11,89.9,4371705856,65.7,69.60000000000001,72196096,0.5,22.8,0,74.7478476104631,-0.0003830107886244605
12,90.1,4366426112,65.7,69.8,66916352,0.5,22.8,0,74.7478476104631,-0.0003830107886244605
13,78.9,4366925824,65.7,58.60000000000001,67416064,0.5,22.8,0,74.7478476104631,-0.0003830107886244605
14,68.8,4368158720,65.7,48.5,68648960,0.5,22.8,0,74.7478476104631,-0.0003830107886244605
15,81.5,4364996608,65.7,61.2,65486848,0.5,22.8,0,74.74853405422265,0.0003034329709237227
16,91.8,4394774528,66.0,71.5,95264768,0.7999999999999972,22.8,0,74.73575645392242,-0.012474167329301622
17,100.0,4454518784,66.7,79.7,155009024,1.5,22.8,0,74.7341528796171,-0.014077741634622498
18,95.2,4480937984,67.1,74.9,181428224,1.8999999999999915,22.8,0,74.71000068638891,-0.03822993486281234
19,75.4,4466098176,67.3,55.10000000000001,166588416,2.0999999999999943,22.8,0,74.70984043637081,-0.03839018488091028
20,84.6,4465221632,67.3,64.3,165711872,2.0999999999999943,22.8,0,74.71003933827052,-0.038191282981202335
21,91.7,4429258752,66.9,71.4,129748992,1.7000000000000028,22.8,0,74.71003933827052,-0.038191282981202335
22,90.5,4432486400,66.9,70.2,132976640,1.7000000000000028,22.8,0,74.71060151843491,-0.03762910281680831
23,75.2,4435771392,66.5,54.900000000000006,136261632,1.2999999999999972,22.8,0,74.70976496646156,-0.03846565479015851
24,76.7,4430721024,66.5,56.400000000000006,131211264,1.2999999999999972,22.8,0,74.70885694042586,-0.0393736808258609
25,88.4,4438380544,66.5,68.10000000000001,138870784,1.2999999999999972,22.8,2871296,74.71777697734782,-0.030453643903896932
26,92.9,4457541632,66.7,72.60000000000001,158031872,1.5,22.8,2871296,74.71777697734782,-0.030453643903896932
27,87.9,4452597760,66.7,67.60000000000001,153088000,1.5,22.8,2871296,74.71819254454641,-0.03003807670530989
28,71.7,4452167680,66.6,51.400000000000006,152657920,1.3999999999999915,22.8,2871296,74.7181054283554,-0.030125192896321096
29,80.4,4446699520,66.6,60.10000000000001,147189760,1.3999999999999915,22.8,2871296,74.7181054283554,-0.030125192896321096
30,90.2,4447924224,66.6,69.9,148414464,1.3999999999999915,22.8,2871296,74.71910232800444,-0.0291282932472825
31,91.4,4458577920,66.7,71.10000000000001,159068160,1.5,22.8,2871296,74.71894214195672,-0.029288479295004777
32,88.4,4459876352,66.7,68.10000000000001,160366592,1.5,22.7,2871296,74.70794517729067,-0.0402854439610536
33,96.5,4464992256,67.2,76.2,165482496,2.0,22.7,2871296,74.69602800400057,-0.05220261725115449
34,94.5,4419158016,67.6,74.2,119648256,2.3999999999999915,23.2,2871296,74.70925898581088,-0.03897163544084492
35,83.5,4420063232,67.6,63.2,120553472,2.3999999999999915,23.2,2871296,74.70904581293473,-0.039184808316989006
36,96.7,4427362304,67.8,76.4,127852544,2.5999999999999943,23.2,2871296,74.70904581293473,-0.039184808316989006
37,96.3,4433174528,67.6,76.0,133664768,2.3999999999999915,23.2,2871296,74.7102003898947,-0.03803023135702688
38,89.4,4440608768,67.5,69.10000000000001,141099008,2.299999999999997,23.2,2871296,74.70940102658331,-0.03882959466841385
39,88.6,4424884224,67.4,68.3,125374464,2.200000000000003,23.2,2871296,74.70940102658331,-0.03882959466841385
40,87.8,4438351872,67.5,67.5,138842112,2.299999999999997,23.2,2871296,74.70940102658331,-0.03882959466841385
41,88.1,4430098432,66.7,67.8,130588672,1.5,23.2,2871296,74.70940102658331,-0.03882959466841385
42,71.6,4426686464,66.7,51.3,127176704,1.5,23.2,2871296,74.70167472970456,-0.04655589154715756
43,78.0,4416204800,66.5,57.7,116695040,1.2999999999999972,23.2,2871296,74.70167472970456,-0.04655589154715756
44,87.1,4417667072,66.5,66.8,118157312,1.2999999999999972,23.2,2871296,74.70167472970456,-0.04655589154715756
45,88.6,4425949184,66.7,68.3,126439424,1.5,23.2,2871296,74.70146161313077,-0.046769008120946864
46,83.5,4450713600,67.4,63.2,151203840,2.200000000000003,23.2,2871296,74.69773830587964,-0.05049231537208243
47,72.1,4440719360,67.3,51.8,141209600,2.0999999999999943,23.2,2871296,74.69773830587964,-0.05049231537208243
48,97.0,4468617216,67.7,76.7,169107456,2.5,23.2,2871296,74.69780019939837,-0.05043042185334912
