Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,95.2,4313157632,65.9,82.9,23035904,0.4000000000000057,22.7,0,74.66875560842865,-0.000431675267918763
1,97.0,4314775552,65.9,84.7,24653824,0.4000000000000057,22.7,0,74.67045846461411,0.0012711809175414146
2,96.7,4315271168,65.9,84.4,25149440,0.4000000000000057,22.7,0,74.67045846461411,0.0012711809175414146
3,95.5,4312969216,65.9,83.2,22847488,0.4000000000000057,22.7,0,74.67119876546097,0.0020114817643985816
4,97.3,4314181632,65.8,85.0,24059904,0.29999999999999716,22.7,0,74.67119876546097,0.0020114817643985816
5,99.3,4313505792,65.7,87.0,23384064,0.20000000000000284,22.7,1921024,74.6793762097805,0.010188926083927186
6,96.5,4317487104,65.8,84.2,27365376,0.29999999999999716,22.7,1921024,74.67954266397577,0.010355380279193582
7,96.0,4317634560,65.8,83.7,27512832,0.29999999999999716,22.7,1921024,74.67954266397577,0.010355380279193582
8,98.5,4319051776,65.8,86.2,28930048,0.29999999999999716,22.7,1921024,74.67965363222345,0.01046634852687589
9,99.0,4327116800,66.0,86.7,36995072,0.5,22.7,1921024,74.67972854624992,0.010541262553346087
10,97.0,4337893376,66.1,84.7,47771648,0.5999999999999943,22.7,1921024,74.68000596017202,0.010818676475452094
11,99.2,4337065984,66.0,86.9,46944256,0.5,22.7,1921024,74.67951503801412,0.010327754317543736
12,97.7,4334891008,66.0,85.4,44769280,0.5,22.7,1921024,74.67182476676808,0.002637483071509905
13,96.5,4335259648,66.1,84.2,45137920,0.5999999999999943,22.7,1921024,74.66947982189193,0.0002925381953531314
14,99.2,4332965888,65.3,86.9,42844160,-0.20000000000000284,22.7,1921024,74.66947982189193,0.0002925381953531314
15,98.2,4327047168,65.3,85.9,36925440,-0.20000000000000284,22.7,1921024,74.66981280202498,0.0006255183284054056
16,96.7,4330713088,65.4,84.4,40591360,-0.09999999999999432,22.7,1921024,74.66981280202498,0.0006255183284054056
17,98.0,4336787456,65.4,85.7,46665728,-0.09999999999999432,22.7,1921024,74.66981280202498,0.0006255183284054056
18,97.0,4334161920,65.4,84.7,44040192,-0.09999999999999432,22.7,1921024,74.66981280202498,0.0006255183284054056
19,96.2,4345454592,65.5,83.9,55332864,0.0,22.7,1921024,74.66990529495277,0.0007180112561968599
20,98.3,4344688640,65.5,86.0,54566912,0.0,22.7,1921024,74.66997928880865,0.0007920051120748894
21,98.5,4345610240,65.5,86.2,55488512,0.0,22.7,1921024,74.66997928880865,0.0007920051120748894
22,95.5,4346327040,65.5,83.2,56205312,0.0,22.7,1921024,74.66997928880865,0.0007920051120748894
23,93.8,4350226432,65.6,81.5,60104704,0.09999999999999432,22.7,1921024,74.66997928880865,0.0007920051120748894
24,91.0,4344086528,65.2,78.7,53964800,-0.29999999999999716,22.7,1921024,74.66861603422981,-0.0005712494667591272
25,97.3,4336689152,65.1,85.0,46567424,-0.4000000000000057,22.7,1921024,74.65504073505639,-0.014146548640184164
26,97.5,4344156160,65.2,85.2,54034432,-0.29999999999999716,22.7,1921024,74.65504073505639,-0.014146548640184164
27,98.5,4344909824,65.2,86.2,54788096,-0.29999999999999716,22.7,1921024,74.65504073505639,-0.014146548640184164
28,95.5,4343984128,65.2,83.2,53862400,-0.29999999999999716,22.7,1921024,74.65204284054826,-0.017144443148310984
29,96.7,4350623744,65.3,84.4,60502016,-0.20000000000000284,22.7,1921024,74.6508982534326,-0.018289030263971995
30,99.3,4351778816,65.3,87.0,61657088,-0.20000000000000284,22.7,1921024,74.65102780606937,-0.01815947762720782
31,96.0,4352364544,65.3,83.7,62242816,-0.20000000000000284,22.7,1921024,74.65102780606937,-0.01815947762720782
32,96.7,4356681728,65.3,84.4,66560000,-0.20000000000000284,22.7,1921024,74.65123138610883,-0.017955897587739855
33,98.7,4356718592,65.4,86.4,66596864,-0.09999999999999432,22.7,1921024,74.65178658777869,-0.0174006959178854
34,96.5,4359806976,65.4,84.2,69685248,-0.09999999999999432,22.7,1921024,74.65298944130078,-0.01619784239579758
35,99.2,4364931072,65.4,86.9,74809344,-0.09999999999999432,22.7,1921024,74.65313747692146,-0.016049806775114916
36,98.2,4326359040,65.0,85.9,36237312,-0.5,22.7,11948032,74.66880097123504,-0.00038631246152931453
37,96.5,4328017920,65.0,84.2,37896192,-0.5,22.7,11948032,74.66880097123504,-0.00038631246152931453
38,96.2,4332716032,65.0,83.9,42594304,-0.5,22.7,11948032,74.66880097123504,-0.00038631246152931453
39,99.3,4334886912,65.1,87.0,44765184,-0.4000000000000057,22.7,11948032,74.66904122821545,-0.0001460554811245629
40,97.0,4327157760,65.0,84.7,37036032,-0.5,22.7,11948032,74.66904122821545,-0.0001460554811245629
41,96.8,4327260160,65.0,84.5,37138432,-0.5,22.7,11948032,74.66824449189917,-0.0009427917973994226
42,99.3,4357869568,65.7,87.0,67747840,0.20000000000000284,22.7,11948032,74.66350538026629,-0.005681903430286184
43,99.0,4308123648,66.2,86.7,18001920,0.7000000000000028,22.7,11948032,74.66127320277648,-0.00791408092008794
44,97.0,4316356608,66.2,84.7,26234880,0.7000000000000028,22.7,11948032,74.66149501716872,-0.0076922665278544855
45,98.0,4317720576,66.0,85.7,27598848,0.5,22.7,11948032,74.6582272386745,-0.010960045022073928
46,97.5,4322361344,66.0,85.2,32239616,0.5,22.7,11948032,74.65816027678349,-0.011027006913082005
47,95.0,4340690944,66.2,82.7,50569216,0.7000000000000028,22.7,11948032,74.65816027678349,-0.011027006913082005
48,98.7,4333969408,65.4,86.4,43847680,-0.09999999999999432,22.7,11948032,74.65816027678349,-0.011027006913082005
49,98.5,4342235136,65.5,86.2,52113408,0.0,22.7,11948032,74.65816027678349,-0.011027006913082005
50,97.2,4342353920,65.5,84.9,52232192,0.0,22.7,11948032,74.65816027678349,-0.011027006913082005
51,93.3,4331982848,65.4,81.0,41861120,-0.09999999999999432,22.7,11948032,74.65567872976415,-0.013508553932425116
52,88.6,4336926720,65.4,76.3,46804992,-0.09999999999999432,22.7,11948032,74.65567872976415,-0.013508553932425116
53,98.7,4335124480,65.4,86.4,45002752,-0.09999999999999432,22.7,11948032,74.64707581269565,-0.02211147100092603
54,97.5,4335951872,65.4,85.2,45830144,-0.09999999999999432,22.7,11948032,74.64707581269565,-0.02211147100092603
55,94.5,4336865280,65.4,82.2,46743552,-0.09999999999999432,22.7,11948032,74.64397271533205,-0.025214568364518186
56,98.5,4340707328,65.5,86.2,50585600,0.0,22.7,11948032,74.64397271533205,-0.025214568364518186
57,98.8,4341944320,65.5,86.5,51822592,0.0,22.7,11948032,74.64397271533205,-0.025214568364518186
58,98.3,4346630144,65.5,86.0,56508416,0.0,22.7,11948032,74.64397271533205,-0.025214568364518186
59,96.3,4348534784,65.6,84.0,58413056,0.09999999999999432,22.7,11948032,74.63417515402672,-0.03501212966985179
60,97.7,4347731968,65.6,85.4,57610240,0.09999999999999432,22.7,11948032,74.63417515402672,-0.03501212966985179
61,98.2,4354883584,65.6,85.9,64761856,0.09999999999999432,22.7,11948032,74.63417515402672,-0.03501212966985179
62,96.2,4355862528,65.6,83.9,65740800,0.09999999999999432,22.7,11948032,74.63417515402672,-0.03501212966985179
63,96.7,4354490368,65.7,84.4,64368640,0.20000000000000284,22.7,11948032,74.63395745965492,-0.035229824041650204
64,99.3,4360302592,65.7,87.0,70180864,0.20000000000000284,22.7,11948032,74.63430889850777,-0.03487838518880437
65,96.0,4353777664,65.6,83.7,63655936,0.09999999999999432,22.7,11948032,74.63573305100503,-0.03345423269153969
66,97.5,4353818624,65.7,85.2,63696896,0.20000000000000284,22.7,11948032,74.63584401721087,-0.033343266485701406
67,99.0,4360564736,65.7,86.7,70443008,0.20000000000000284,22.7,11948032,74.63584401721087,-0.033343266485701406
68,98.8,4360044544,65.7,86.5,69922816,0.20000000000000284,22.7,11948032,74.63584401721087,-0.033343266485701406
69,98.5,4363804672,65.8,86.2,73682944,0.29999999999999716,22.7,11948032,74.63584401721087,-0.033343266485701406
70,97.0,4363423744,65.7,84.7,73302016,0.20000000000000284,22.7,21798912,74.64015245404944,-0.029034829647130778
71,97.7,4366651392,65.8,85.4,76529664,0.29999999999999716,22.7,21798912,74.64030035722097,-0.02888692647560731
72,98.8,4364857344,65.8,86.5,74735616,0.29999999999999716,22.7,21798912,74.64022955322854,-0.028957730468036402
73,98.8,4364111872,65.7,86.5,73990144,0.20000000000000284,22.7,21798912,74.63848834327204,-0.030698940424528587
74,98.2,4365668352,65.8,85.9,75546624,0.29999999999999716,22.7,21798912,74.63440770074682,-0.03477958294975281
75,96.0,4363960320,65.8,83.7,73838592,0.29999999999999716,22.7,21798912,74.63255795645148,-0.0366293272450946
76,98.2,4366471168,65.8,85.9,76349440,0.29999999999999716,22.7,21798912,74.63263192193332,-0.036555361763248584
77,97.0,4364828672,65.7,84.7,74706944,0.20000000000000284,22.7,21798912,74.62991188152515,-0.039275402171426776
78,98.5,4362289152,65.8,86.2,72167424,0.29999999999999716,22.7,21798912,74.62991188152515,-0.039275402171426776
79,98.7,4371517440,65.8,86.4,81395712,0.29999999999999716,22.7,21798912,74.62991188152515,-0.039275402171426776
80,97.7,4325552128,65.3,85.4,35430400,-0.20000000000000284,22.7,21798912,74.62991188152515,-0.039275402171426776
81,98.5,4323450880,65.3,86.2,33329152,-0.20000000000000284,22.7,21798912,74.62996735927972,-0.03921992441685518
82,99.2,4324249600,65.3,86.9,34127872,-0.20000000000000284,22.7,21798912,74.62996735927972,-0.03921992441685518
83,98.0,4324675584,65.3,85.7,34553856,-0.20000000000000284,22.7,21798912,74.62996735927972,-0.03921992441685518
84,86.0,4312805376,64.9,73.7,22683648,-0.5999999999999943,22.7,21798912,74.62659478938284,-0.04259249431373746
85,96.7,4313059328,64.8,84.4,22937600,-0.7000000000000028,22.7,21798912,74.62659478938284,-0.04259249431373746
86,97.0,4311609344,64.8,84.7,21487616,-0.7000000000000028,22.7,21798912,74.62687219885377,-0.042315084842798
87,95.5,4311097344,64.8,83.2,20975616,-0.7000000000000028,22.7,21798912,74.62382629065209,-0.04536099304448271
88,98.0,4316065792,64.9,85.7,25944064,-0.5999999999999943,22.7,21798912,74.62382629065209,-0.04536099304448271
89,99.5,4320972800,64.9,87.2,30851072,-0.5999999999999943,22.7,21798912,74.62406672633398,-0.04512055736259413
90,99.0,4322820096,65.0,86.7,32698368,-0.5,22.7,21798912,74.62406672633398,-0.04512055736259413
91,96.5,4325048320,65.0,84.2,34926592,-0.5,22.7,21798912,74.62406672633398,-0.04512055736259413
92,96.5,4321685504,64.9,84.2,31563776,-0.5999999999999943,22.7,21798912,74.61906330530907,-0.0501239783875036
