Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,98.7,4367560704,65.7,84.0,60866560,0.7000000000000028,23.4,0,74.81126181332513,-0.0002110185947969967
1,99.0,4367937536,65.7,84.3,61243392,0.7000000000000028,23.4,0,74.81126181332513,-0.0002110185947969967
2,99.2,4368650240,65.7,84.5,61956096,0.7000000000000028,23.4,0,74.81126181332513,-0.0002110185947969967
3,93.3,4365103104,65.8,78.6,58408960,0.7999999999999972,23.4,0,74.81126181332513,-0.0002110185947969967
4,96.2,4372955136,65.8,81.5,66260992,0.7999999999999972,23.4,0,74.8113683866109,-0.00010444530903441773
5,99.5,4376064000,65.9,84.8,69369856,0.9000000000000057,23.4,0,74.8113683866109,-0.00010444530903441773
6,98.3,4373942272,65.9,83.6,67248128,0.9000000000000057,23.4,0,74.8113683866109,-0.00010444530903441773
7,97.0,4379930624,65.8,82.3,73236480,0.7999999999999972,23.4,0,74.81167033935654,0.0001975074366100671
8,98.5,4384645120,65.9,83.8,77950976,0.9000000000000057,23.4,0,74.81167033935654,0.0001975074366100671
9,97.7,4386062336,65.9,83.0,79368192,0.9000000000000057,23.4,0,74.81167033935654,0.0001975074366100671
10,97.7,4387287040,65.9,83.0,80592896,0.9000000000000057,23.4,0,74.81167033935654,0.0001975074366100671
11,98.5,4389756928,65.9,83.8,83062784,0.9000000000000057,23.4,0,74.81167033935654,0.0001975074366100671
12,98.2,4390072320,66.0,83.5,83378176,1.0,23.4,0,74.81167033935654,0.0001975074366100671
13,96.5,4391444480,65.9,81.8,84750336,0.9000000000000057,23.4,0,74.81190123951265,0.00042840759272166906
14,98.2,4390400000,66.0,83.5,83705856,1.0,23.4,0,74.81218541850885,0.0007125865889179295
15,98.0,4398317568,66.1,83.3,91623424,1.0999999999999943,23.4,0,74.81218541850885,0.0007125865889179295
16,96.7,4394356736,66.0,82.0,87662592,1.0,23.4,0,74.81218541850885,0.0007125865889179295
17,97.5,4394905600,66.0,82.8,88211456,1.0,23.4,0,74.8123097448033,0.0008369128833720652
18,98.5,4395507712,66.0,83.8,88813568,1.0,23.4,0,74.81270047659577,0.001227644675836359
19,99.2,4397654016,66.0,84.5,90959872,1.0,23.4,0,74.81270047659577,0.001227644675836359
20,98.7,4396621824,66.0,84.0,89927680,1.0,23.4,0,74.81270047659577,0.001227644675836359
21,97.0,4398198784,66.1,82.3,91504640,1.0999999999999943,23.4,0,74.81270047659577,0.001227644675836359
22,92.3,4406087680,66.1,77.6,99393536,1.0999999999999943,23.4,0,74.81270047659577,0.001227644675836359
23,93.0,4405325824,66.1,78.3,98631680,1.0999999999999943,23.4,0,74.81357069929321,0.0020978673732798825
24,99.0,4405776384,66.2,84.3,99082240,1.2000000000000028,23.4,0,74.81369501191266,0.0022221799927280017
25,95.0,4406304768,66.1,80.3,99610624,1.0999999999999943,23.4,0,74.81369501191266,0.0022221799927280017
26,98.0,4403789824,66.1,83.3,97095680,1.0999999999999943,23.4,6070272,74.82427682681269,0.012803994892763626
27,99.2,4429537280,66.7,84.5,122843136,1.7000000000000028,23.4,6070272,74.82427682681269,0.012803994892763626
28,98.7,4381978624,67.0,84.0,75284480,2.0,23.4,6070272,74.82541286711927,0.013940035199340173
29,95.7,4371681280,66.9,81.0,64987136,1.9000000000000057,23.4,6070272,74.82557254490713,0.014099712987203361
30,98.7,4390105088,66.9,84.0,83410944,1.9000000000000057,23.4,6070272,74.82557254490713,0.014099712987203361
31,99.3,4337856512,66.2,84.6,31162368,1.2000000000000028,23.4,6070272,74.82557254490713,0.014099712987203361
32,98.0,4337041408,66.3,83.3,30347264,1.2999999999999972,23.4,6070272,74.82557254490713,0.014099712987203361
33,98.7,4343627776,65.7,84.0,36933632,0.7000000000000028,23.4,6070272,74.82585641152856,0.014383579608633568
34,97.5,4346695680,65.7,82.8,40001536,0.7000000000000028,23.4,6070272,74.82649508802098,0.015022256101048015
35,96.7,4337090560,65.6,82.0,30396416,0.5999999999999943,23.4,6070272,74.82649508802098,0.015022256101048015
36,98.5,4337025024,65.6,83.8,30330880,0.5999999999999943,23.4,6070272,74.82649508802098,0.015022256101048015
37,97.7,4335558656,65.5,83.0,28864512,0.5,23.4,6070272,74.82681441411475,0.015341582194821513
38,96.2,4332490752,65.5,81.5,25796608,0.5,23.4,6070272,74.82718695098515,0.015714119065222576
39,97.7,4334170112,65.5,83.0,27475968,0.5,23.4,6070272,74.82718695098515,0.015714119065222576
40,99.3,4344565760,65.6,84.6,37871616,0.5999999999999943,23.4,6070272,74.82718695098515,0.015714119065222576
41,99.5,4340985856,65.6,84.8,34291712,0.5999999999999943,23.4,6070272,74.82718695098515,0.015714119065222576
42,96.5,4353290240,65.7,81.8,46596096,0.7000000000000028,23.4,6070272,74.82718695098515,0.015714119065222576
43,96.7,4357398528,65.7,82.0,50704384,0.7000000000000028,23.4,6070272,74.82718695098515,0.015714119065222576
44,98.5,4364820480,65.9,83.8,58126336,0.9000000000000057,23.4,6070272,74.82837544729495,0.016902615375016694
45,97.5,4361666560,65.8,82.8,54972416,0.7999999999999972,23.4,6070272,74.82837544729495,0.016902615375016694
46,97.0,4362084352,65.8,82.3,55390208,0.7999999999999972,23.4,6070272,74.82837544729495,0.016902615375016694
47,98.5,4359503872,65.8,83.8,52809728,0.7999999999999972,23.4,6070272,74.82837544729495,0.016902615375016694
48,96.7,4360638464,65.8,82.0,53944320,0.7999999999999972,23.4,6070272,74.82837544729495,0.016902615375016694
49,85.3,4366327808,65.8,70.6,59633664,0.7999999999999972,23.4,6070272,74.82837544729495,0.016902615375016694
50,98.7,4370362368,65.9,84.0,63668224,0.9000000000000057,23.4,6070272,74.82837544729495,0.016902615375016694
51,97.0,4370022400,65.9,82.3,63328256,0.9000000000000057,23.4,6070272,74.82837544729495,0.016902615375016694
52,96.7,4370206720,65.9,82.0,63512576,0.9000000000000057,23.4,6070272,74.82837544729495,0.016902615375016694
