Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,99.3,4375343104,65.7,76.69999999999999,81903616,1.0,22.7,0,74.78244282530976,0.00025509273943669086
1,98.0,4381634560,65.7,75.4,88195072,1.0,22.7,0,74.78273435354981,0.0005466209794917631
2,98.0,4392329216,65.9,75.4,98889728,1.2000000000000028,22.7,0,74.78273435354981,0.0005466209794917631
3,99.8,4393234432,65.9,77.19999999999999,99794944,1.2000000000000028,22.7,0,74.78273435354981,0.0005466209794917631
4,93.2,4399267840,65.9,70.6,105828352,1.2000000000000028,22.7,0,74.78273435354981,0.0005466209794917631
5,98.8,4403625984,65.9,76.19999999999999,110186496,1.2000000000000028,22.7,0,74.78273435354981,0.0005466209794917631
6,100.0,4407246848,66.0,77.4,113807360,1.2999999999999972,22.7,0,74.78317163327178,0.000983900701456264
7,99.8,4381413376,65.6,77.19999999999999,87973888,0.8999999999999915,22.7,0,74.78331738980906,0.001129657238735149
8,98.8,4381577216,65.6,76.19999999999999,88137728,0.8999999999999915,22.7,0,74.78331738980906,0.001129657238735149
9,98.2,4381188096,65.7,75.6,87748608,1.0,22.7,0,74.78331738980906,0.001129657238735149
10,99.2,4324945920,64.9,76.6,31506432,0.20000000000000284,22.7,0,74.78331738980906,0.001129657238735149
11,99.2,4328333312,65.0,76.6,34893824,0.29999999999999716,22.7,0,74.78331738980906,0.001129657238735149
12,99.8,4343152640,65.2,77.19999999999999,49713152,0.5,22.7,0,74.78339026744582,0.0012025348755031473
13,99.0,4348411904,65.2,76.4,54972416,0.5,22.7,0,74.78344492539696,0.0012571928266424948
14,98.3,4348231680,65.2,75.69999999999999,54792192,0.5,22.7,8515584,74.78792852235861,0.0057407897882910675
15,99.5,4349677568,65.3,76.9,56238080,0.5999999999999943,22.7,8515584,74.78792852235861,0.0057407897882910675
16,98.5,4356837376,65.3,75.9,63397888,0.5999999999999943,22.7,8515584,74.7882017082558,0.00601397568547668
17,99.3,4372750336,65.6,76.69999999999999,79310848,0.8999999999999915,22.7,8515584,74.78903944142586,0.006851708855535321
18,98.5,4370731008,65.6,75.9,77291520,0.8999999999999915,22.7,8515584,74.78903944142586,0.006851708855535321
19,44.3,4260122624,64.2,21.699999999999996,-33316864,-0.5,22.7,8515584,74.78934902437808,0.007161291807761927
