Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,73.6,4401598464,66.3,57.89999999999999,29626368,0.29999999999999716,23.2,0,74.7356335174537,0.0005749402846504381
1,72.5,4409257984,66.2,56.8,37285888,0.20000000000000284,23.2,0,74.7356335174537,0.0005749402846504381
2,75.5,4411326464,66.3,59.8,39354368,0.29999999999999716,23.2,0,74.7356335174537,0.0005749402846504381
3,67.9,4412317696,66.3,52.2,40345600,0.29999999999999716,23.2,0,74.7356335174537,0.0005749402846504381
4,68.3,4420816896,66.4,52.599999999999994,48844800,0.4000000000000057,23.2,12468224,74.74774900902659,0.0126904318575356
5,76.5,4415066112,66.3,60.8,43094016,0.29999999999999716,23.2,12468224,74.74774900902659,0.0126904318575356
6,67.3,4418662400,66.4,51.599999999999994,46690304,0.4000000000000057,23.2,12468224,74.74774900902659,0.0126904318575356
7,64.0,4420431872,66.4,48.3,48459776,0.4000000000000057,23.2,12468224,74.74774900902659,0.0126904318575356
8,77.7,4423299072,66.4,62.0,51326976,0.4000000000000057,23.2,12468224,74.74946300876296,0.0144044315939027
9,77.9,4422729728,66.4,62.2,50757632,0.4000000000000057,23.2,12468224,74.75033777310838,0.01527919593932836
10,64.6,4417470464,66.3,48.89999999999999,45498368,0.29999999999999716,23.2,12468224,74.75033777310838,0.01527919593932836
11,75.9,4426272768,66.5,60.2,54300672,0.5,23.2,12468224,74.75035562481087,0.015297047641809058
12,76.2,4429996032,66.5,60.5,58023936,0.5,23.2,12468224,74.75035562481087,0.015297047641809058
13,77.3,4431933440,66.5,61.599999999999994,59961344,0.5,23.2,12468224,74.75035562481087,0.015297047641809058
14,72.1,4437475328,66.6,56.39999999999999,65503232,0.5999999999999943,23.2,12468224,74.75035562481087,0.015297047641809058
15,71.2,4440383488,66.6,55.5,68411392,0.5999999999999943,23.2,12468224,74.75035562481087,0.015297047641809058
16,75.4,4444028928,66.6,59.7,72056832,0.5999999999999943,23.2,12468224,74.75035562481087,0.015297047641809058
17,98.5,4430090240,66.5,82.8,58118144,0.5,23.2,12468224,74.75035562481087,0.015297047641809058
18,68.4,4323840000,65.2,52.7,-48132096,-0.7999999999999972,23.2,12468224,74.7504448829447,0.015386305775649589
19,82.7,4332650496,65.3,67.0,-39321600,-0.7000000000000028,23.2,12468224,74.7504448829447,0.015386305775649589
20,77.6,4329287680,65.4,61.89999999999999,-42684416,-0.5999999999999943,23.2,12468224,74.75080190916952,0.015743332000468513
