Tempo (s),cpu_porcentagem_pc,memory_data_used_pc,memory_data_porcentagem_pc,cpu_porcentagem_processo,memory_data_used_processo,memory_data_porcentagem_processo,swap_data_porcentagem,converted_size,disk_uso_total,disk_uso_processo
0,98.0,4411813888,66.2,79.4,74244096,0.7999999999999972,22.7,5525504,74.72270052087262,0.006814292845817249
1,96.2,4413833216,66.2,77.6,76263424,0.7999999999999972,22.7,5525504,74.72270052087262,0.006814292845817249
2,97.5,4415582208,66.3,78.9,78012416,0.8999999999999915,22.7,5525504,74.72270052087262,0.006814292845817249
3,98.7,4414976000,66.3,80.1,77406208,0.8999999999999915,22.7,5525504,74.72270052087262,0.006814292845817249
4,94.9,4423303168,66.3,76.30000000000001,85733376,0.8999999999999915,22.7,5525504,74.72270052087262,0.006814292845817249
5,98.0,4415574016,66.2,79.4,78004224,0.7999999999999972,22.7,5525504,74.72270052087262,0.006814292845817249
6,98.0,4418785280,66.2,79.4,81215488,0.7999999999999972,22.7,5525504,74.72270052087262,0.006814292845817249
7,96.2,4427227136,66.3,77.6,89657344,0.8999999999999915,22.7,5525504,74.72279130976975,0.006905081742942798
8,98.0,4425150464,66.2,79.4,87580672,0.7999999999999972,22.7,5525504,74.72279130976975,0.006905081742942798
9,98.5,4407607296,66.0,79.9,70037504,0.5999999999999943,22.7,5525504,74.72286394041791,0.0069777123911052286
10,97.2,4402733056,66.5,78.6,65163264,1.0999999999999943,22.7,5525504,74.72286394041791,0.0069777123911052286
11,97.5,4407697408,66.5,78.9,70127616,1.0999999999999943,22.7,5525504,74.72286394041791,0.0069777123911052286
12,98.5,4415483904,66.5,79.9,77914112,1.0999999999999943,22.7,5525504,74.72286394041791,0.0069777123911052286
13,99.0,4421292032,66.6,80.4,83722240,1.1999999999999886,22.7,5525504,74.72286394041791,0.0069777123911052286
14,96.5,4421042176,66.6,77.9,83472384,1.1999999999999886,22.7,5525504,74.72355391075858,0.007667682731778314
15,95.9,4434194432,66.3,77.30000000000001,96624640,0.8999999999999915,22.7,5525504,74.72355391075858,0.007667682731778314
16,97.7,4425662464,66.4,79.1,88092672,1.0,22.7,5525504,74.72364469352557,0.007758465498767464
17,97.2,4441858048,66.5,78.6,104288256,1.0999999999999943,22.7,5525504,74.72364469352557,0.007758465498767464
18,95.4,4435402752,66.5,76.80000000000001,97832960,1.0999999999999943,22.7,5525504,74.72364469352557,0.007758465498767464
19,98.7,4438872064,66.4,80.1,101302272,1.0,22.7,5525504,74.72378994459636,0.007903716569558128
20,99.0,4445564928,66.5,80.4,107995136,1.0999999999999943,22.7,5525504,74.72378994459636,0.007903716569558128
21,99.5,4446871552,66.5,80.9,109301760,1.0999999999999943,22.7,5525504,74.72378994459636,0.007903716569558128
22,96.7,4456013824,66.6,78.1,118444032,1.1999999999999886,22.7,5525504,74.72378994459636,0.007903716569558128
23,90.4,4447608832,66.5,71.80000000000001,110039040,1.0999999999999943,22.7,5525504,74.7236289192975,0.007742691270692603
24,98.2,4446732288,66.5,79.6,109162496,1.0999999999999943,22.7,5525504,74.72395572948093,0.008069501454130545
25,98.2,4451659776,66.5,79.6,114089984,1.0999999999999943,22.7,5525504,74.72395572948093,0.008069501454130545
26,98.5,4452868096,66.6,79.9,115298304,1.1999999999999886,22.7,5525504,74.72395572948093,0.008069501454130545
27,96.2,4455911424,66.6,77.6,118341632,1.1999999999999886,22.7,5525504,74.72424622032719,0.008359992300384533
28,96.5,4452528128,66.5,77.9,114958336,1.0999999999999943,22.7,5525504,74.72424622032719,0.008359992300384533
29,99.0,4457607168,66.6,80.4,120037376,1.1999999999999886,22.7,9515008,74.73052645185382,0.014640223827015575
30,98.8,4456783872,66.6,80.19999999999999,119214080,1.1999999999999886,22.7,9515008,74.73074420735605,0.014857979329249815
31,96.0,4458418176,66.6,77.4,120848384,1.1999999999999886,22.7,9515008,74.73074420735605,0.014857979329249815
32,96.2,4457054208,66.6,77.6,119484416,1.1999999999999886,22.7,9515008,74.73094381326959,0.015057585242786331
33,98.0,4456411136,66.6,79.4,118841344,1.1999999999999886,22.7,9515008,74.73114341602971,0.015257188002905764
34,100.0,4460224512,66.6,81.4,122654720,1.1999999999999886,22.7,9515008,74.73119785259883,0.015311624572021287
35,95.7,4375412736,65.6,77.1,37842944,0.19999999999998863,22.7,9515008,74.73119785259883,0.015311624572021287
36,98.2,4375191552,65.6,79.6,37621760,0.19999999999998863,22.7,9515008,74.73119785259883,0.015311624572021287
37,99.3,4380344320,65.7,80.69999999999999,42774528,0.29999999999999716,22.7,9515008,74.73119785259883,0.015311624572021287
38,99.3,4371673088,65.6,80.69999999999999,34103296,0.19999999999998863,22.7,9515008,74.73119785259883,0.015311624572021287
39,97.0,4383854592,65.7,78.4,46284800,0.29999999999999716,22.7,9515008,74.7313430156365,0.015456787609693379
